player_id,player_display_name,recent_team,season,week,opponent_team,is_home,is_division_rival,total_line,team_spread,team_implied_total,rolling_4wk_avg_rb_fantasy_points_allowed,rolling_4wk_avg_rb_rushing_yards_allowed,rolling_4wk_avg_rb_receiving_yards_allowed,rolling_4wk_avg_rb_receptions_allowed,snap_percentage,carries,targets,total_touches,target_share,red_zone_touches,goal_line_touches,rushing_yards,rushing_tds,rushing_epa,receptions,receiving_yards,receiving_tds,receiving_epa,yards_per_touch,fantasy_points,fantasy_points_ppr,dk_fantasy_points,fd_fantasy_points,dk_showdown_captain_points
00-0036265,AJ Dillon,GB,2023,1,CHI,0,0,0.0,0.0,0.0,27.175000220537186,150.0,26.75,3.75,0.48,13,3,16,0.1111111119389534,3.0,2.0,19.0,0,-6.132588863372803,2,17.0,0,1.2971066236495972,2.25,3.5999999046325684,5.599999904632568,5.6000000000000005,4.6000000000000005,8.4
00-0036265,AJ Dillon,GB,2023,2,ATL,0,0,0.0,0.0,0.0,13.275000050663948,117.5,20.25,3.75,0.68,15,1,16,0.03999999910593033,2.0,0.0,55.0,0,-1.425878643989563,1,8.0,0,0.6042523384094238,3.9375,6.300000190734863,7.300000190734863,7.3,6.8,10.95
00-0036265,AJ Dillon,GB,2023,3,NO,1,0,41.5,-1.5,21.5,11.649999910965562,88.5,28.0,3.25,0.52,11,0,11,,0.0,0.0,33.0,0,-1.5827473402023315,0,0.0,0,,3.0,3.299999952316284,3.299999952316284,3.3000000000000003,3.3000000000000003,4.95
00-0036265,AJ Dillon,GB,2023,4,DET,1,1,45.0,-2.5,23.75,11.750000014901161,58.25,34.25,4.5,0.67,5,1,6,0.029411764815449715,1.0,1.0,11.0,0,-0.9081714153289795,0,0.0,0,-0.9627225995063782,1.8333333333333333,1.100000023841858,1.100000023841858,1.1,1.1,1.6500000000000001
00-0036265,AJ Dillon,GB,2023,5,LV,0,0,0.0,0.0,0.0,17.00000001490116,110.5,29.5,5.0,0.64,20,1,21,0.03448275849223137,5.0,3.0,76.0,1,4.449682712554932,0,0.0,0,-0.6160466074943542,3.619047619047619,13.600000381469727,13.600000381469727,13.600000000000001,13.600000000000001,20.400000000000002
00-0036265,AJ Dillon,GB,2023,7,DEN,0,0,0.0,0.0,0.0,39.025000125169754,188.5,51.75,8.0,0.56,15,2,17,0.0625,2.0,0.0,61.0,0,-2.2910351753234863,2,34.0,0,1.0506545305252075,5.588235294117647,9.5,11.5,11.5,10.5,17.25
00-0036265,AJ Dillon,GB,2023,8,MIN,1,1,41.5,-1.0,21.25,13.850000036880374,70.5,28.0,3.5,0.51,6,5,11,0.125,3.0,2.0,11.0,0,-2.409895896911621,5,41.0,0,2.261492967605591,4.7272727272727275,5.199999809265137,10.199999809265137,10.200000000000001,7.700000000000001,15.3
00-0036265,AJ Dillon,GB,2023,9,LA,1,0,38.0,3.5,17.25,13.57500022649765,82.5,23.25,4.5,0.4,9,1,10,0.03999999910593033,2.0,0.0,40.0,0,-1.366472601890564,1,3.0,0,-0.6097856760025024,4.3,4.300000190734863,5.300000190734863,5.3,4.8,7.949999999999999
00-0036265,AJ Dillon,GB,2023,10,PIT,0,0,0.0,0.0,0.0,18.375000223517418,99.0,29.75,3.75,0.5,9,3,12,0.0810810774564743,2.0,0.0,70.0,0,2.035351037979126,1,11.0,0,-1.078460693359375,6.75,8.100000381469727,9.100000381469727,9.1,8.6,13.649999999999999
00-0036265,AJ Dillon,GB,2023,11,LAC,1,0,44.0,-3.0,23.5,20.550000242888927,90.5,40.0,7.0,0.72,14,4,18,0.10526315867900848,1.0,0.0,29.0,0,-4.365241527557373,4,32.0,0,1.947480320930481,3.388888888888889,6.099999904632568,10.100000381469727,10.100000000000001,8.100000000000001,15.150000000000002
00-0036265,AJ Dillon,GB,2023,12,DET,0,0,0.0,0.0,0.0,19.099999994039536,85.0,46.0,3.0,0.52,14,3,17,0.10000000149011612,4.0,0.0,43.0,0,-6.759923934936523,3,38.0,0,2.1811108589172363,4.764705882352941,8.100000381469727,11.100000381469727,11.1,9.6,16.65
00-0036265,AJ Dillon,GB,2023,13,KC,1,0,43.5,-5.5,24.5,19.775000229477882,106.0,31.75,5.25,0.63,18,1,19,0.02857142873108387,5.0,0.0,73.0,0,0.8319700360298157,1,14.0,0,0.923197865486145,4.578947368421052,8.699999809265137,9.699999809265137,9.700000000000001,9.200000000000001,14.55
00-0036265,AJ Dillon,GB,2023,14,NYG,0,0,0.0,0.0,0.0,21.149999778717756,129.75,26.75,4.5,0.53,15,3,18,0.07894736528396606,2.0,0.0,53.0,0,-0.9202409982681274,2,25.0,0,-1.2182486057281494,4.333333333333333,7.800000190734863,9.800000190734863,9.8,8.8,14.700000000000001
