gvkey,conm,cusip,fyear,naicsh,sich,emp,at,revt,oibdp,ni,xrd,xsga,xlr,lt,ceq,capx,che,prcc_f,csho,mktcap,mktcap_rank,r2000_proxy,naicsh_str,tech,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,total_petitions,total_approvals,total_denials,approval_rate,h1b_employer,h1b_user_pre,h1b_user,post_baha,h1b_user_x_post,operating_margin,roa,rd_intensity,log_emp,log_revt,h1b_intensity
6529,LSI CORP,502161102,2010,334413,3674.0,5.718,2424.912,2570.047,314.473,39.972,669.822,1012.835,,1107.41,1317.502,92.342,676.666,5.99,615.191,3684.99409,1109.0,1,334413,1,LSI CORPORATION,46.0,1.0,46.0,0.0,93.0,92.0,1.0,0.989247311827957,LSI CORPORATION,1,1,0,0,0.12236079729281216,0.016483897147607833,0.2606263620859852,1.7436190939001202,7.851679465659786,0.01608954179783141
7251,MENTOR GRAPHICS CORP,587200106,2010,541512,7373.0,4.7,1427.978,914.753,112.677,28.584,284.851,706.056,,651.264,776.714,47.175,133.113,12.735,111.249,1416.756015,1971.0,1,541512,1,MENTOR GRAPHICS CORPORATION,16.0,1.0,11.0,1.0,29.0,27.0,2.0,0.9310344827586207,MENTOR GRAPHICS CORPORATION,1,1,0,0,0.12317751349271333,0.020017115109616533,0.3113966283794642,1.547562508716013,6.818654083478524,0.00574468085106383
7260,MEREDITH CORP,589433101,2010,511120,2721.0,3.225,1727.316,1387.73,230.002,103.963,,584.391,,1038.971,688.345,24.721,48.574,31.13,45.415,1413.76895,1977.0,1,511120,1,MEREDITH CORPORATION,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,MEREDITH CORPORATION,1,1,0,0,0.16573973323340996,0.06018759740545447,,1.170932950247736,7.235424597648729,0.00062015503875969
7331,MICROS SYSTEMS INC,594901100,2010,541512,7373.0,4.646,1138.291,914.319,194.966,114.353,42.229,316.197,,348.679,783.38,9.044,545.298,31.87,80.042,2550.93854,1415.0,1,541512,1,MICROS SYSTEMS INC,7.0,0.0,10.0,0.0,17.0,17.0,0.0,1.0,MICROS SYSTEMS INC,1,1,0,0,0.21323629936597624,0.10046025137684476,0.046186287280478695,1.5360066343482173,6.818179525879758,0.003659061558329746
7346,MICROSEMI CORP,595137100,2010,334413,3674.0,2.25,879.886,518.268,104.613,59.038,55.395,162.869,,113.443,766.443,16.224,199.95,17.1225,83.24,1425.2768999999998,1967.0,1,334413,1,MICROSEMI CORPORATION,2.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,MICROSEMI CORPORATION,1,1,0,0,0.201851165806108,0.06709732851755795,0.10688485493991526,0.8109302162163288,6.250492482984807,0.0013333333333333333
7506,MOLEX INC,608554101,2010,334417,3678.0,35.519,3236.578,3007.207,520.739,76.93,154.0,610.784,,1251.447,1985.131,229.477,394.86,18.24,174.195,3177.3168,1221.0,1,334417,1,MOLEX INC,2.0,0.0,2.0,0.0,4.0,4.0,0.0,1.0,MOLEX INC,1,1,0,0,0.17316366981055845,0.023768931260114853,0.05121030910077025,3.5700677645745085,8.008767019994,0.00011261578310200175
7648,NCR VOYIX CORP,62886E108,2010,334119,3578.0,21.0,4361.0,4819.0,205.0,134.0,162.0,845.0,,3445.0,883.0,174.0,496.0,15.37,159.7,2454.5889999999995,1448.0,1,334119,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.042539946046897696,0.030726897500573263,0.033616932973645985,3.044522437723423,8.480321716640333,0.0
7866,NEW YORK TIMES CO  -CL A,650111107,2010,511110,2711.0,7.414,3285.741,2393.463,377.486,107.704,,1054.199,498.27,2621.665,659.927,33.565,399.642,9.8,146.152,1432.2896,1963.0,1,511110,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.15771541068318162,0.032779211751626194,,2.0033701047285404,7.780496550179551,0.0
8348,PARK AEROSPACE CORP,70014A104,2010,334412,3672.0,0.614,353.808,211.652,48.73,32.621,,27.917,,28.5,325.308,3.699,250.444,31.8,20.722,658.9596,2873.0,1,334412,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.2302364258310812,0.09219972414416859,,-0.4877603508349946,5.354943416485243,0.0
8633,PLANTRONICS INC,727493108,2010,334210,3661.0,3.2,744.647,683.602,152.859,109.243,63.183,226.572,,109.795,634.852,18.567,429.956,36.62,48.315,1769.2952999999998,1757.0,1,334210,1,PLANTRONICS INC,0.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,PLANTRONICS INC,1,1,0,0,0.22360818136869115,0.14670441162053965,0.09242658740027092,1.1631508098056809,6.527375876924692,0.001875
8858,NEXTGEN HEALTHCARE INC,65343C102,2010,541512,7373.0,1.579,378.686,353.363,109.542,61.606,21.797,129.307,,154.016,224.67,6.804,121.524,83.34,29.034,2419.69356,1463.0,1,541512,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.30999850012593283,0.16268359537981336,0.0616844434759723,0.45679173527350503,5.867495857177521,0.0
8958,RAVEN INDUSTRIES INC,754212108,2010,334514,3824.0,1.112,187.76,314.708,67.383,40.537,7.604,31.677,,46.546,141.214,13.972,38.563,47.24,18.062,853.2488800000001,2557.0,1,334514,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.2141127648486851,0.2158979548359608,0.0241620804046926,0.10616019582839073,5.751645224783159,0.0
9466,SCHOLASTIC CORP,807066105,2010,511130,2731.0,9.4,1487.0,1906.1,181.5,39.4,,841.4,,747.0,740.0,74.3,105.3,27.24,30.973,843.7045199999999,2576.0,1,511130,1,SCHOLASTIC INC,1.0,0.0,5.0,0.0,6.0,6.0,0.0,1.0,SCHOLASTIC INC,1,1,0,0,0.09522060752321494,0.026496301277740417,,2.2407096892759584,7.552814548735027,0.0006382978723404255
9599,SEMTECH CORP,816850101,2010,334413,3674.0,0.982,659.943,454.502,105.206,72.572,69.624,170.028,,131.328,528.615,25.537,231.256,21.835,63.928,1395.86788,1989.0,1,334413,1,SEMATECH INC,4.0,0.0,3.0,0.0,7.0,7.0,0.0,1.0,SEMATECH INC,1,1,0,0,0.23147532904145637,0.10996707291387287,0.15318744471971518,-0.01816397062767118,6.119202314047896,0.007128309572301426
9999,STANDARD MICROSYSTEMS CORP,853626109,2010,334413,3674.0,1.026,539.092,409.479,51.416,10.627,96.37,188.564,,142.185,396.907,12.396,170.387,26.53,22.983,609.7389900000001,2965.0,1,334413,1,STANDARD MICROSYSTEMS CORPORATION,0.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,STANDARD MICROSYSTEMS CORPORATION,1,1,0,0,0.12556443675988269,0.019712776297923177,0.23534784445600387,0.025667746748577813,6.014885619926873,0.007797270955165692
10420,TELLABS INC,879664100,2010,334210,3661.0,3.413,2602.9,1642.3,277.0,155.6,299.7,579.4,,741.4,1861.5,55.6,1348.1,6.78,362.502,2457.7635600000003,1446.0,1,334210,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.16866589539061072,0.059779476737485106,0.18248797418254886,1.22759166992457,7.403852977343515,0.0
10453,TERADYNE INC,880770102,2010,334515,3825.0,3.0,1810.355,1608.65,499.123,379.73,197.022,427.123,,688.167,1122.188,76.044,806.798,14.04,182.035,2555.7714,1412.0,1,334515,1,TERADYNE INC,1.0,0.0,5.0,0.0,6.0,6.0,0.0,1.0,TERADYNE INC,1,1,0,0,0.31027445373449786,0.20975444042743,0.12247661082273956,1.0986122886681098,7.38315059691616,0.002
10550,THORATEC CORP,885175307,2010,334510,3845.0,0.714,837.743,382.973,126.442,53.203,58.831,139.553,,216.383,621.36,4.249,448.143,28.32,58.571,1658.73072,1817.0,1,334510,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.33015904515461925,0.06350754348290585,0.15361657349212607,-0.33687231664255274,5.947964490612129,0.0
10789,TYLER TECHNOLOGIES INC,902252105,2010,541512,7373.0,2.054,264.032,288.628,52.241,25.054,13.971,83.451,,157.06,106.972,4.93,2.139,20.76,32.294,670.42344,2853.0,1,541512,1,TYLER TECHNOLOGIES INC,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,TYLER TECHNOLOGIES INC,1,1,0,0,0.18099768560222848,0.09489001333171737,0.04840486716465485,0.7197891115063664,5.665138661730645,0.0004868549172346641
10991,LIGHT & WONDER INC,80874P109,2010,3341,3570.0,3.2,2151.538,882.499,210.098,-149.201,,156.169,,1698.88,452.658,72.278,124.281,9.96,91.725,913.581,2477.0,1,3341,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.238071657871567,-0.06934620722478524,,1.1631508098056809,6.782757655662334,0.0
11191,VISHAY INTERTECHNOLOGY INC,928298108,2010,334415,3670.0,22.6,2966.093,2725.092,615.879,359.106,50.968,361.33,,1468.943,1491.731,145.413,897.338,14.68,164.965,2421.6862,1461.0,1,334415,1,VISHAY INTERTECHNOLOGY INC,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,VISHAY INTERTECHNOLOGY INC,1,1,0,0,0.22600301200840192,0.1210703777663074,0.018703221762788193,3.1179499062782403,7.910257467995329,8.849557522123894e-05
11499,WILEY (JOHN) & SONS  -CL A,968223206,2010,511120,2721.0,5.1,2430.141,1742.551,338.523,171.889,,910.847,,1452.252,977.889,54.393,201.853,50.93,60.71,3091.9603,1247.0,1,511120,1,JOHN WILEY & SONS INC,2.0,0.0,2.0,0.0,4.0,4.0,0.0,1.0,JOHN WILEY & SONS INC,1,1,0,0,0.19426863259669302,0.07073210978293029,,1.62924053973028,7.463105410499054,0.000784313725490196
11811,HENRY (JACK) & ASSOCIATES,426281101,2010,541512,7373.0,4.528,1564.146,836.586,257.998,117.87,50.82,158.63,,813.774,750.372,54.509,126.518,23.88,85.402,2039.39976,1632.0,1,541512,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.30839387701921855,0.07535741548423229,0.06074689272830289,1.5102803409008818,6.729329324466929,0.0
11910,NOVELL INC,670006105,2010,541519,7370.0,3.4,2225.998,811.871,124.856,377.976,160.188,543.708,,890.45,1335.548,17.648,1126.69,5.93,351.576,2084.84568,1599.0,1,541519,1,NOVELL INC,1.0,0.0,5.0,0.0,6.0,6.0,0.0,1.0,NOVELL INC,1,1,0,0,0.15378797863207333,0.16980069164482628,0.19730720767215482,1.2237754316221157,6.699341460545906,0.0017647058823529412
12212,TEKELEC,879101103,2010,334220,3663.0,1.291,832.387,423.963,65.389,15.009,92.347,223.455,,225.802,606.585,17.659,220.938,11.91,68.617,817.22847,2610.0,1,334220,1,TEKELEC,2.0,0.0,3.0,0.0,5.0,5.0,0.0,1.0,TEKELEC,1,1,0,0,0.15423279861686043,0.018031276317386026,0.21781853605149504,0.2554171118645054,6.049646187273277,0.0038729666924864447
12215,CYPRESS SEMICONDUCTOR CORP,232806109,2010,334413,3674.0,3.5,1072.801,877.532,150.617,75.742,176.816,394.306,,369.908,704.436,50.786,434.261,18.58,170.753,3172.59074,1223.0,1,334413,1,CYPRESS SEMICONDUCTOR CORPORATION,9.0,0.0,22.0,0.0,31.0,31.0,0.0,1.0,CYPRESS SEMICONDUCTOR CORPORATION,1,1,0,0,0.17163704571457222,0.07060209675419767,0.20149236722991298,1.252762968495368,6.777113421911575,0.008857142857142857
12788,HARMAN INTERNATIONAL INDS,413086109,2010,334310,3651.0,9.816,2556.215,3364.428,257.997,158.769,322.7,759.186,,1421.323,1134.892,60.033,645.57,29.89,69.53,2078.2517000000003,1604.0,1,334310,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.07668376318351887,0.06211097266857443,0.09591526405082826,2.28401370740861,8.121013242488557,0.0
12884,COMVERSE TECHNOLOGY INC,205862402,2010,511210,7372.0,5.9,2813.922,1623.427,48.355,-132.322,253.089,942.395,,2328.035,413.008,20.342,726.948,6.56,204.534,1341.7430399999998,2037.0,1,511210,1,COMVERSE INC,2.0,0.0,18.0,0.0,20.0,20.0,0.0,1.0,COMVERSE INC,1,1,0,0,0.029785755688429477,-0.04702404686412772,0.15589798617369308,1.7749523509116738,7.392294625949272,0.003389830508474576
12945,PLEXUS CORP,729132100,2010,334412,3672.0,8.7,1290.379,2013.393,136.604,89.533,,107.27,,638.524,651.855,74.674,188.244,29.35,40.403,1185.82805,2175.0,1,334412,1,PLEXUS CORP,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,PLEXUS CORP,1,1,0,0,0.06784765815715064,0.0693850411390762,,2.163323025660538,7.60757663758321,0.00022988505747126436
13421,CADENCE DESIGN SYSTEMS INC,127387108,2010,511210,7372.0,4.6,1732.116,935.954,89.694,126.538,376.413,758.165,,1455.462,276.654,34.782,570.124,8.26,267.116,2206.37816,1547.0,1,511210,1,CADENCE DESIGN SYSTEMS INC,21.0,0.0,22.0,0.0,43.0,43.0,0.0,1.0,CADENCE DESIGN SYSTEMS INC,1,1,0,0,0.09583163275118223,0.07305399869292818,0.40217040581054203,1.5260563034950492,6.841566329970777,0.009347826086956522
13480,EBIX INC,278715206,2010,511210,7372.0,1.179,303.3,132.188,57.045,59.019,13.607,45.544,,72.032,231.268,1.754,29.697,23.67,36.017,852.5223900000001,2559.0,1,511210,1,EBIX INC,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,EBIX INC,1,1,0,0,0.4315444669712834,0.19458951533135507,0.10293672648046721,0.16466662155523393,4.884225151739353,0.002544529262086514
13623,CONMED CORP,207410101,2010,334510,3845.0,3.3,985.773,713.723,87.674,30.346,29.652,306.115,,399.21,586.563,14.732,12.417,26.43,28.222,745.90746,2727.0,1,334510,1,CONMED CORPORATION,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,CONMED CORPORATION,1,1,0,0,0.12284037364635862,0.03078396344797433,0.04154552956819383,1.1939224684724346,6.570494931883431,0.00030303030303030303
13824,FAIR ISAAC CORP,303250104,2010,541512,7373.0,2.157,1123.716,605.643,145.884,64.457,73.581,298.844,,648.802,474.914,17.453,214.814,24.66,39.882,983.49012,2392.0,1,541512,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.24087457462564577,0.05736057865154541,0.12149236431363031,0.7687183674070194,6.406290703565589,0.0
16188,COGNEX CORP,192422103,2010,334513,3823.0,0.824,533.104,290.691,85.597,61.381,33.08,137.315,,59.793,473.311,5.852,181.026,29.42,41.065,1208.1323,2154.0,1,334513,1,COGNEX CORPORATION,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,COGNEX CORPORATION,1,1,0,0,0.29446044081172107,0.11513888472042978,0.11379781279778184,-0.1935847490726654,5.672260847333245,0.0024271844660194173
16401,CIRRUS LOGIC INC,172755100,2010,334413,3674.0,0.57,496.621,369.571,88.93,203.503,63.934,121.21,,58.242,438.379,20.06,202.353,21.03,68.664,1444.00392,1955.0,1,334413,1,CIRRUS LOGIC INC,14.0,1.0,12.0,0.0,27.0,26.0,1.0,0.9629629629629629,CIRRUS LOGIC INC,1,1,0,0,0.24063035248977868,0.40977526121529295,0.17299517548725413,-0.5621189181535413,5.912342873485668,0.0456140350877193
16597,LATTICE SEMICONDUCTOR CORP,518415104,2010,334413,3674.0,0.749,377.687,297.768,66.04,57.072,60.326,124.685,,58.965,318.722,13.856,238.22,6.06,117.971,714.90426,2779.0,1,334413,1,LATTICE SEMICONDUCTOR CORPORATION,1.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,LATTICE SEMICONDUCTOR CORPORATION,1,1,0,0,0.22178340184304562,0.15110925184080998,0.20259396577201044,-0.2890162954649176,5.69631465980868,0.004005340453938585
18699,PTC INC,69370C100,2010,511210,7372.0,5.317,1307.064,1010.049,136.957,24.368,201.567,611.974,,559.76,747.304,26.729,240.253,19.54,115.826,2263.24004,1520.0,1,511210,1,PTC,7.0,0.0,21.0,0.0,28.0,28.0,0.0,1.0,PTC,1,1,0,0,0.13559441175626133,0.018643310503540757,0.19956160542706344,1.6709092345222014,6.917754123509983,0.005266127515516268
20904,HOLOGIC INC,436440101,2010,334517,3844.0,4.22,5625.834,1679.552,602.837,-62.813,106.305,497.061,,2927.285,2698.549,28.01,516.567,16.01,259.269,4150.8966900000005,1033.0,1,334517,1,HOLOGIC INC,1.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,HOLOGIC INC,1,1,0,0,0.3589272615554624,-0.0111651001433743,0.0632936640246923,1.4398351280479205,7.42628237016876,0.0007109004739336493
21238,VICOR CORP,925815102,2010,334419,3679.0,1.07,204.912,250.733,39.343,33.325,35.981,85.398,,25.9,175.031,12.103,49.279,16.4,41.769,685.0115999999999,2824.0,1,334419,1,VICOR CORPORATION,1.0,0.0,3.0,0.0,4.0,4.0,0.0,1.0,VICOR CORPORATION,1,1,0,0,0.1569119342088995,0.16263078785039434,0.1435032484754699,0.06765864847381486,5.524388627933582,0.003738317757009346
